num_in_tokens,num_out_tokens,first_token_time,end_time
162,256,1751901211.777779,1751901226.7710876
60,256,1751901211.777779,1751901226.7711022
150,256,1751901211.777779,1751901226.771115
286,256,1751901211.777779,1751901226.7711277
224,256,1751901211.777779,1751901226.7711427
130,256,1751901211.777779,1751901226.7711544
133,256,1751901211.777779,1751901226.7711673
120,256,1751901211.777779,1751901226.7711792
159,256,1751901211.777779,1751901226.7711911
130,256,1751901211.777779,1751901226.7712023
336,256,1751901211.777779,1751901226.7712111
209,256,1751901211.777779,1751901226.7712235
176,256,1751901211.777779,1751901226.7712338
125,256,1751901211.777779,1751901226.7712443
82,256,1751901211.777779,1751901226.7712562
175,256,1751901211.777779,1751901226.7712681
144,256,1751901211.777779,1751901226.771279
123,256,1751901211.777779,1751901226.7712898
104,256,1751901211.777779,1751901226.771302
161,256,1751901211.777779,1751901226.7713137
132,256,1751901211.777779,1751901226.771327
307,256,1751901211.777779,1751901226.7713373
132,256,1751901211.777779,1751901226.77135
237,256,1751901211.777779,1751901226.7713594
144,256,1751901211.777779,1751901226.7713704
335,256,1751901211.777779,1751901226.7713835
214,256,1751901211.777779,1751901226.771397
168,256,1751901211.777779,1751901226.7714067
175,256,1751901211.777779,1751901226.771421
195,256,1751901211.777779,1751901226.7714314
94,256,1751901211.777779,1751901226.7714412
359,256,1751901211.777779,1751901226.7714536
184,256,1751901211.777779,1751901226.771464
204,256,1751901211.777779,1751901226.7714767
180,256,1751901211.777779,1751901226.7714868
188,256,1751901211.777779,1751901226.7714996
239,256,1751901211.777779,1751901226.7715137
106,256,1751901211.777779,1751901226.7715278
147,256,1751901211.777779,1751901226.7715385
248,256,1751901211.777779,1751901226.7715518
303,256,1751901211.777779,1751901226.771564
159,256,1751901211.777779,1751901226.7715735
285,256,1751901211.777779,1751901226.771584
276,256,1751901211.777779,1751901226.771597
131,256,1751901211.777779,1751901226.7716079
434,256,1751901211.777779,1751901226.771619
261,256,1751901211.777779,1751901226.7716286
81,256,1751901211.777779,1751901226.771641
165,256,1751901211.777779,1751901226.771654
174,256,1751901211.777779,1751901226.7716658
181,256,1751901211.777779,1751901226.7716756
107,256,1751901211.777779,1751901226.771688
154,256,1751901211.777779,1751901226.7717047
160,256,1751901211.777779,1751901226.771716
91,256,1751901211.777779,1751901226.7717268
111,256,1751901211.777779,1751901226.7717395
124,256,1751901211.777779,1751901226.7717524
249,256,1751901211.777779,1751901226.771763
183,256,1751901211.777779,1751901226.7717745
169,256,1751901211.777779,1751901226.7717855
171,256,1751901211.777779,1751901226.7717936
137,256,1751901211.777779,1751901226.7718053
133,256,1751901211.777779,1751901226.7718155
189,256,1751901211.777779,1751901226.7718303
240,256,1751901211.777779,1751901226.7718408
209,256,1751901211.777779,1751901226.7718513
99,256,1751901211.777779,1751901226.7718627
161,256,1751901211.777779,1751901226.7718742
245,256,1751901211.777779,1751901226.7718854
298,256,1751901211.777779,1751901226.7718985
145,256,1751901211.777779,1751901226.7719069
78,256,1751901211.777779,1751901226.7719169
133,256,1751901211.777779,1751901226.771928
119,256,1751901211.777779,1751901226.7719412
133,256,1751901211.777779,1751901226.7719502
334,256,1751901211.777779,1751901226.77196
238,256,1751901211.777779,1751901226.7719698
119,256,1751901211.777779,1751901226.771978
92,256,1751901211.777779,1751901226.7719874
117,256,1751901211.777779,1751901226.7719967
