num_in_tokens,num_out_tokens,first_token_time,elapsed_time
133,512,0.391,10.755
133,512,0.391,10.755
133,512,0.391,10.755
133,512,0.391,10.755
133,512,0.391,10.755
133,512,0.391,10.755
133,512,0.391,10.755
133,512,0.391,10.755
133,512,0.391,10.755
133,512,0.391,10.755
133,512,0.391,10.755
133,512,0.391,10.755
133,512,0.391,10.755
133,512,0.391,10.755
133,512,0.391,10.755
133,512,0.391,10.755
133,512,0.391,10.755
133,512,0.391,10.755
133,512,0.391,10.755
133,512,0.391,10.755
133,512,0.391,10.755
133,512,0.391,10.755
133,512,0.391,10.755
133,512,0.391,10.755
133,512,0.391,10.755
133,512,0.391,10.755
133,512,0.391,10.755
133,512,0.391,10.755
133,512,0.391,10.755
133,512,0.391,10.755
133,512,0.391,10.755
133,512,0.391,10.755
133,512,0.381,19.256
133,512,0.381,19.256
133,512,0.381,19.256
133,512,0.381,19.256
133,512,0.381,19.256
133,512,0.381,19.256
133,512,0.381,19.256
133,512,0.381,19.256
133,512,0.381,19.256
133,512,0.381,19.256
133,512,0.381,19.256
133,512,0.381,19.256
133,512,0.381,19.256
133,512,0.381,19.256
133,512,0.381,19.256
133,512,0.381,19.256
133,512,0.381,19.256
133,512,0.381,19.256
133,512,0.381,19.256
133,512,0.381,19.256
133,512,0.381,19.256
133,512,0.381,19.256
133,512,0.381,19.256
133,512,0.381,19.256
133,512,0.381,19.256
133,512,0.381,19.256
133,512,0.381,19.256
133,512,0.381,19.256
133,512,0.381,19.256
133,512,0.381,19.256
133,512,0.381,19.256
133,512,0.381,19.256
133,512,0.381,29.385
133,512,0.381,29.385
133,512,0.381,29.385
133,512,0.381,29.385
133,512,0.381,29.385
133,512,0.381,29.385
133,512,0.381,29.385
133,512,0.381,29.385
133,512,0.381,29.385
133,512,0.381,29.385
133,512,0.381,29.385
133,512,0.381,29.385
133,512,0.381,29.385
133,512,0.381,29.385
133,512,0.381,29.385
133,512,0.381,29.385
133,512,0.381,29.385
133,512,0.381,29.385
133,512,0.381,29.386
133,512,0.381,29.386
133,512,0.381,29.386
133,512,0.381,29.386
133,512,0.381,29.386
133,512,0.381,29.386
133,512,0.381,29.386
133,512,0.381,29.386
133,512,0.381,29.386
133,512,0.381,29.386
133,512,0.381,29.386
133,512,0.381,29.386
133,512,0.381,29.386
133,512,0.381,29.386
133,512,0.381,37.901
133,512,0.381,37.901
133,512,0.381,37.901
133,512,0.381,37.901
133,512,0.381,37.901
133,512,0.381,37.901
133,512,0.381,37.901
133,512,0.381,37.901
133,512,0.381,37.901
133,512,0.381,37.901
133,512,0.381,37.901
133,512,0.381,37.901
133,512,0.381,37.901
133,512,0.381,37.901
133,512,0.381,37.901
133,512,0.381,37.901
133,512,0.381,37.901
133,512,0.381,37.901
133,512,0.381,37.902
133,512,0.381,37.902
133,512,0.381,37.902
133,512,0.381,37.902
133,512,0.381,37.902
133,512,0.381,37.902
133,512,0.381,37.902
133,512,0.381,37.902
133,512,0.381,37.902
133,512,0.381,37.902
133,512,0.381,37.902
133,512,0.381,37.902
133,512,0.381,37.902
133,512,0.381,37.902
133,512,0.382,46.644
133,512,0.382,46.644
133,512,0.382,46.644
133,512,0.382,46.644
133,512,0.382,46.644
133,512,0.382,46.644
133,512,0.382,46.644
133,512,0.382,46.644
133,512,0.382,46.644
133,512,0.382,46.644
133,512,0.382,46.644
133,512,0.382,46.644
133,512,0.382,46.644
133,512,0.382,46.644
133,512,0.382,46.644
133,512,0.382,46.644
133,512,0.382,46.644
133,512,0.382,46.644
133,512,0.382,46.644
133,512,0.382,46.644
133,512,0.382,46.644
133,512,0.382,46.644
133,512,0.382,46.644
133,512,0.382,46.644
133,512,0.382,46.644
133,512,0.382,46.644
133,512,0.382,46.644
133,512,0.382,46.644
133,512,0.382,46.644
133,512,0.382,46.644
133,512,0.382,46.644
133,512,0.382,46.644
133,512,0.049,52.306
133,512,0.049,52.306
133,512,0.049,52.306
133,512,0.049,52.306
